Index,A,B,A_SMILES,B_SMILES,vdw_ETDG,density_mean,density_std,FFV(MD calculated),dp1(input SMILES for GCNN)
C9461,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,CC1(C)CC(C)(c2ccc(N)cc2)c2cc(N)ccc21,0.51211169,1.126402993,0.005450439,0.250102617,CC1(C)CC(C)(c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)cc2)c2cc(N)ccc21
C124512,,,CC1(C)CC2(CC(C)(C)c3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc32)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,Nc1cccc(N)c1,0.517206609,1.132048631,0.004065499,0.238846056,CC1(C)CC2(CC(C)(C)c3ccc(Oc4ccc5c(c4)C(=O)N(c4cccc(N)c4)C5=O)cc32)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21
C6985,,,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1c(N)c(C)c2c(c1N)C(C)(C)CC2,0.508296756,1.059756324,0.006334334,0.299728088,Cc1c(N)c2c(c(C)c1N1C(=O)c3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc3C1=O)CCC2(C)C
C20599,,,O=C1OC(=O)c2cc(Oc3cccc4c(Oc5ccc6c(c5)C(=O)OC6=O)cccc34)ccc21,Cc1cc(Cc2cc(C)c(N)c(C)c2)cc(C)c1N,0.517319074,1.115260258,0.004262248,0.249970975,Cc1cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)OC8=O)cccc56)cc4C3=O)c(C)c2)cc(C)c1N
C9269,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Cc1c(N)c(C)c2c(c1N)C(C)(C)CC2,0.507928271,1.064010222,0.006631727,0.297426866,Cc1c(N)c2c(c(C)c1N1C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)OC5=O)cc3C1=O)CCC2(C)C
C27445,,,Cc1cc(Cc2cc(C)c(Oc3cccc4c3C(=O)OC4=O)c(C)c2)cc(C)c1Oc1cccc2c1C(=O)OC2=O,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.522506761,1.154596006,0.004409013,0.215730515,Cc1cc(Cc2cc(C)c(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccc(N)cc7)cc6)cc5)cc3)C4=O)c(C)c2)cc(C)c1Oc1cccc2c1C(=O)OC2=O
C9709,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1cc(C)c(N)c(C)c1N,0.501854682,1.07567169,0.008230553,0.298219864,Cc1cc(C)c(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3C2=O)c(C)c1N
C1701,,,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,Cc1cc(C2(c3cc(C)c(N)c(C)c3)c3ccccc3-c3ccccc32)cc(C)c1N,0.484207593,1.120219136,0.006824502,0.294855805,Cc1cc(C2(c3cc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)OC7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)c3ccccc3-c3ccccc32)cc(C)c1N
C9830,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1cc(C(c2cc(C)c(Oc3ccc(N)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1,0.526526488,1.116977161,0.004061094,0.23544652,Cc1cc(C(c2cc(C)c(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)OC7=O)cc5C4=O)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1
C9259,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Cc1cc(C(c2cc(C)c(Oc3ccc(N)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1,0.521845736,1.136700869,0.003811532,0.228862748,Cc1cc(C(c2cc(C)c(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)OC7=O)cc5C4=O)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1
C11457,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.517653821,1.185799167,0.004983373,0.20201649,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccc(N)cc6)cc5)cc4)cc2)C3=O)cc1
C28118,,,O=C(Nc1ccc(C2(c3ccc(NC(=O)c4ccc5c(c4)C(=O)OC5=O)cc3)c3ccccc3-c3ccccc32)cc1)c1ccc2c(c1)C(=O)OC2=O,Nc1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N)cc4)cc3)cc2)cc1,0.507279181,1.216169579,0.003778986,0.197981239,Nc1ccc(Sc2ccc(Oc3ccc(Sc4ccc(N5C(=O)c6ccc(C(=O)Nc7ccc(C8(c9ccc(NC(=O)c%10ccc%11c(c%10)C(=O)OC%11=O)cc9)c9ccccc9-c9ccccc98)cc7)cc6C5=O)cc4)cc3)cc2)cc1
C6926,,,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,NCCCCCCCCCCN,0.531060166,1.144941698,0.008002373,0.209557194,NCCCCCCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)OC4=O)cc2C1=O
C34868,,,CC(C)(c1ccc(Oc2cccc3c2C(=O)OC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)OC3=O)cc1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.517156591,1.189667504,0.004951123,0.200182292,CC(C)(c1ccc(Oc2cccc3c2C(=O)OC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccc(N)cc6)cc5)cc4)cc2)C3=O)cc1
C9881,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1cc(N)cc(C)c1-c1c(C)cc(N)cc1C,0.519324347,1.091182798,0.006495076,0.263318868,Cc1cc(N)cc(C)c1-c1c(C)cc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3C2=O)cc1C
C12493,,,O=C1OC(=O)c2cc(Oc3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,Cc1cc(Cc2cc(C)c(N)cc2C)c(C)cc1N,0.516144043,1.133812559,0.004872082,0.239226222,Cc1cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)OC7=O)cc5)cc4C3=O)cc2C)c(C)cc1N
C24130,,,O=C1OC(=O)c2cc(-c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,NCCCCCCCCCCCN,0.545596604,1.118516275,0.005891484,0.206663715,NCCCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)OC5=O)cc3)cc2C1=O
C15478,,,O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)OC3=O,NCCCCCCCCCCCCN,0.541333699,1.18094469,0.006217943,0.168929295,NCCCCCCCCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)OC3=O
C6937,,,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,NCCCCCCCCCN,0.527285425,1.155071616,0.006572697,0.208231844,NCCCCCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)OC4=O)cc2C1=O
C9712,,,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,0.513948735,1.045966683,0.006784743,0.301154771,Cc1cc(-c2cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)c(C)c2)cc(C)c1N
C6933,,,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,CC(C)(c1ccc(N)cc1)c1ccc(N)cc1,0.507108922,1.167117798,0.006779628,0.230587397,CC(C)(c1ccc(N)cc1)c1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc3C2=O)cc1
C9141,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,0.511167655,1.0892108,0.006101345,0.276199871,Cc1cc(-c2cc(C)c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)c(C)c2)cc(C)c1N
C12379,,,O=C1OC(=O)c2cc(Oc3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,Cc1c(N)ccc(Cc2ccc(N)c(C)c2C)c1C,0.514694179,1.143585914,0.004618778,0.234823883,Cc1c(N)ccc(Cc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc7c(c6)C(=O)OC7=O)cc5)cc4C3=O)c(C)c2C)c1C
C11993,,,O=C1OC(=O)c2cc(Oc3ccc(Oc4ccc5c(c4)C(=O)OC5=O)cc3)ccc21,Cc1cc(C)c(N)c(C)c1N,0.500037156,1.145619975,0.006971873,0.255291679,Cc1cc(C)c(N2C(=O)c3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3C2=O)c(C)c1N
C708,,,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,Cc1cc(C(c2cc(C)c(N)c(C)c2)c2cccc3ccccc23)cc(C)c1N,0.520332889,1.04923074,0.0070668,0.290265959,Cc1cc(C(c2cc(C)c(-n3c(=O)c4cc5c(=O)oc(=O)c5cc4c3=O)c(C)c2)c2cccc3ccccc23)cc(C)c1N
C694,,,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,Cc1cc(C(c2cc(C)c(Oc3ccc(N)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1,0.523166335,1.106820372,0.006806598,0.247233495,Cc1cc(C(c2cc(C)c(Oc3ccc(-n4c(=O)c5cc6c(=O)oc(=O)c6cc5c4=O)cc3)c(C)c2)c2cccc3ccccc23)cc(C)c1Oc1ccc(N)cc1
C9196,,,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,0.524551491,1.143266275,0.007573334,0.220387362,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)OC6=O)cc4C3=O)cc2)cc1
C11470,,,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.524981635,1.170889818,0.005300236,0.200895654,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)OC8=O)cc6)cc5)cc4C3=O)cc2)cc1
C689,,,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21,0.487726806,1.235807149,0.003840531,0.216442845,CC1(C)CC(C)(c2ccc(Oc3ccc(-c4ccc(-n5c(=O)c6cc7c(=O)oc(=O)c7cc6c5=O)cc4)cc3C(F)(F)F)cc2)c2cc(Oc3ccc(-c4ccc(N)cc4)cc3C(F)(F)F)ccc21
